Date,Carbon Price,Vol.,Oil,Coal Price,Gas,DAX
19/11/2014,7.03,1.13,74.58000183105469,73.95,4.370999813079834,9472.7998046875
20/11/2014,6.95,2.35,75.58000183105469,73.9,4.488999843597412,9483.9697265625
21/11/2014,6.99,0.21,76.51000213623047,74.05,4.265999794006348,9732.5498046875
24/11/2014,7.04,0.01,75.77999877929688,73.95,4.151000022888184,9785.5400390625
25/11/2014,7.12,31.21,74.08999633789062,74.05,4.2820000648498535,9861.2099609375
26/11/2014,7.19,13.88,73.69000244140625,74.05,4.355000019073486,9915.5595703125
28/11/2014,7.04,11.36,66.1500015258789,73.9,4.0879998207092285,9980.849609375
01/12/2014,7.07,22.82,69.0,73.15,4.006999969482422,9963.509765625
02/12/2014,6.85,27.57,66.87999725341797,72.6,3.874000072479248,9934.080078125
03/12/2014,6.89,19.84,67.37999725341797,72.2,3.805000066757202,9971.7900390625
04/12/2014,6.84,23.33,66.80999755859375,72.15,3.6489999294281006,9851.349609375
05/12/2014,6.66,25.9,65.83999633789062,72.0,3.802000045776367,10087.1201171875
08/12/2014,6.66,11.46,63.04999923706055,71.7,3.5950000286102295,10014.990234375
09/12/2014,6.74,17.45,63.81999969482422,71.8,3.6519999504089355,9793.7099609375
10/12/2014,6.56,53.15,60.939998626708984,71.65,3.7060000896453857,9799.73046875
11/12/2014,6.74,22.02,59.95000076293945,71.85,3.634000062942505,9862.5302734375
12/12/2014,6.66,22.47,57.810001373291016,71.5,3.7950000762939453,9594.73046875
15/12/2014,6.89,16.83,55.90999984741211,71.55,3.7190001010894775,9334.009765625
16/12/2014,6.91,1.65,55.93000030517578,71.3,3.61899995803833,9563.8896484375
17/12/2014,6.99,0.06,56.470001220703125,71.25,3.7019999027252197,9544.4296875
18/12/2014,7.04,0.0,54.11000061035156,71.3,3.6419999599456787,9811.0595703125
19/12/2014,7.08,0.44,56.52000045776367,71.25,3.4639999866485596,9786.9599609375
22/12/2014,7.11,0.07,55.2599983215332,71.3,3.1440000534057617,9865.759765625
23/12/2014,7.25,0.35,57.119998931884766,71.15,3.1710000038146973,9922.1103515625
29/12/2014,7.25,0.16,53.61000061035156,67.25,3.188999891281128,9927.1298828125
30/12/2014,7.21,0.21,54.119998931884766,66.8,3.0940001010894775,9805.5498046875
02/01/2015,7.01,0.04,52.689998626708984,65.5,3.003000020980835,9764.73046875
05/01/2015,6.9,0.09,50.040000915527344,63.75,2.881999969482422,9473.16015625
06/01/2015,6.77,0.59,47.93000030517578,62.7,2.937999963760376,9469.66015625
07/01/2015,6.78,0.46,48.650001525878906,60.85,2.871000051498413,9518.1796875
08/01/2015,6.81,1.0,48.790000915527344,60.6,2.927000045776367,9837.6103515625
09/01/2015,6.71,0.56,48.36000061035156,60.1,2.946000099182129,9648.5
12/01/2015,6.71,0.04,46.06999969482422,59.35,2.7950000762939453,9781.900390625
13/01/2015,7.29,0.88,45.88999938964844,59.65,2.943000078201294,9941.0
14/01/2015,7.16,0.49,48.47999954223633,58.8,3.2330000400543213,9817.080078125
15/01/2015,7.12,1.21,46.25,58.2,3.1579999923706055,10032.6103515625
16/01/2015,7.13,1.83,48.689998626708984,57.9,3.127000093460083,10167.76953125
20/01/2015,7.16,0.1,46.38999938964844,58.1,2.8310000896453857,10257.1298828125
21/01/2015,7.32,10.07,47.779998779296875,58.65,2.9739999771118164,10299.23046875
22/01/2015,6.76,3.35,46.310001373291016,58.6,2.8350000381469727,10435.6201171875
23/01/2015,6.8,1.9,45.59000015258789,58.55,2.9860000610351562,10649.580078125
26/01/2015,6.85,0.0,45.150001525878906,58.55,2.88100004196167,10798.330078125
27/01/2015,6.84,0.3,46.22999954223633,58.6,2.9809999465942383,10628.580078125
28/01/2015,6.95,0.28,44.45000076293945,58.75,2.865999937057495,10710.9697265625
29/01/2015,7.06,0.44,44.529998779296875,58.85,2.7190001010894775,10737.8701171875
30/01/2015,7.08,1.46,48.2400016784668,58.8,2.690999984741211,10694.3203125
02/02/2015,7.13,0.03,49.56999969482422,57.7,2.680000066757202,10828.009765625
03/02/2015,7.06,0.17,53.04999923706055,58.6,2.753999948501587,10890.9501953125
04/02/2015,6.93,0.03,48.45000076293945,58.75,2.6619999408721924,10911.3203125
05/02/2015,7.0,2.34,50.47999954223633,60.8,2.5999999046325684,10905.41015625
06/02/2015,6.95,0.27,51.689998626708984,61.25,2.5789999961853027,10846.3896484375
09/02/2015,6.91,0.08,52.86000061035156,61.75,2.5969998836517334,10663.509765625
10/02/2015,7.1,0.08,50.02000045776367,61.65,2.677000045776367,10753.830078125
11/02/2015,7.23,0.06,48.84000015258789,62.15,2.796999931335449,10752.1103515625
12/02/2015,7.39,0.56,51.209999084472656,62.75,2.7130000591278076,10919.650390625
13/02/2015,7.63,0.4,52.779998779296875,62.45,2.803999900817871,10963.400390625
17/02/2015,7.47,0.04,53.529998779296875,62.45,2.759000062942505,10895.6201171875
18/02/2015,7.49,0.11,52.13999938964844,62.45,2.8310000896453857,10961.0
19/02/2015,7.34,0.36,51.15999984741211,62.0,2.8340001106262207,11001.9404296875
